Year,Month,Hydroelectric Power,Solar Energy,Wind Energy,Geothermal Energy,Biomass Energy,Total Renewable Energy
1979.0,12.0,0.0,0.0,0.0,0.0,0.0,61.837
1980.0,1.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,2.0,0.0,0.0,0.0,0.0,0.0,67.35
1980.0,3.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,4.0,0.0,0.0,0.0,0.0,0.0,69.672
1980.0,5.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,6.0,0.0,0.0,0.0,0.0,0.0,69.672
1980.0,7.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,8.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,9.0,0.0,0.0,0.0,0.0,0.0,69.672
1980.0,10.0,0.0,0.0,0.0,0.0,0.0,71.995
1980.0,11.0,0.0,0.0,0.0,0.0,0.0,69.672
1980.0,12.0,0.0,0.0,0.0,0.0,0.0,71.995
1981.0,1.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,2.0,0.0,0.0,0.0,0.0,0.0,66.74
1981.0,3.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,4.0,0.0,0.0,0.0,0.0,0.0,71.507
1981.0,5.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,6.0,0.0,0.0,0.0,0.0,0.0,71.507
1981.0,7.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,8.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,9.0,0.0,0.0,0.0,0.0,0.0,71.507
1981.0,10.0,0.0,0.0,0.0,0.0,0.0,73.89
1981.0,11.0,0.0,0.0,0.0,0.0,0.0,71.507
1981.0,12.0,0.0,0.0,0.0,0.0,0.0,73.89
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,2.0,0.0,0.0,0.0,0.0,0.0,74.411
1982.0,3.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,4.0,0.0,0.0,0.0,0.0,0.0,79.726
1982.0,5.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,6.0,0.0,0.0,0.0,0.0,0.0,79.726
1982.0,7.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,8.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,9.0,0.0,0.0,0.0,0.0,0.0,79.726
1982.0,10.0,0.0,0.0,0.0,0.0,0.0,82.384
1982.0,11.0,0.0,0.0,0.0,0.0,0.0,79.726
1982.0,12.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,1.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,2.0,0.0,0.0,0.0,0.0,0.0,74.411
1983.0,3.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,4.0,0.0,0.0,0.0,0.0,0.0,79.726
1983.0,5.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,6.0,0.0,0.0,0.0,0.0,0.0,79.726
1983.0,7.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,8.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,9.0,0.0,0.0,0.0,0.0,0.0,79.726
1983.0,10.0,0.0,0.0,0.0,0.0,0.0,82.384
1983.0,11.0,0.0,0.0,0.0,0.0,0.0,79.726
1983.0,12.0,0.0,0.0,0.0,0.0,0.0,82.384
1984.0,1.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,2.0,0.0,0.0,0.0,0.0,0.0,77.65
1984.0,3.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,4.0,0.0,0.0,0.0,0.0,0.0,80.328
1984.0,5.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,6.0,0.0,0.0,0.0,0.0,0.0,80.328
1984.0,7.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,8.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,9.0,0.0,0.0,0.0,0.0,0.0,80.328
1984.0,10.0,0.0,0.0,0.0,0.0,0.0,83.005
1984.0,11.0,0.0,0.0,0.0,0.0,0.0,80.328
1984.0,12.0,0.0,0.0,0.0,0.0,0.0,83.005
1985.0,1.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,2.0,0.0,0.0,0.0,0.0,0.0,77.479
1985.0,3.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,4.0,0.0,0.0,0.0,0.0,0.0,83.014
1985.0,5.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,6.0,0.0,0.0,0.0,0.0,0.0,83.014
1985.0,7.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,8.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,9.0,0.0,0.0,0.0,0.0,0.0,83.014
1985.0,10.0,0.0,0.0,0.0,0.0,0.0,85.781
1985.0,11.0,0.0,0.0,0.0,0.0,0.0,83.014
1985.0,12.0,0.0,0.0,0.0,0.0,0.0,85.781
1986.0,1.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,2.0,0.0,0.0,0.0,0.0,0.0,70.575
1986.0,3.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,4.0,0.0,0.0,0.0,0.0,0.0,75.616
1986.0,5.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,6.0,0.0,0.0,0.0,0.0,0.0,75.616
1986.0,7.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,8.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,9.0,0.0,0.0,0.0,0.0,0.0,75.616
1986.0,10.0,0.0,0.0,0.0,0.0,0.0,78.137
1986.0,11.0,0.0,0.0,0.0,0.0,0.0,75.616
1986.0,12.0,0.0,0.0,0.0,0.0,0.0,78.137
1987.0,1.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,2.0,0.0,0.0,0.0,0.0,0.0,65.205
1987.0,3.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,4.0,0.0,0.0,0.0,0.0,0.0,69.863
1987.0,5.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,6.0,0.0,0.0,0.0,0.0,0.0,69.863
1987.0,7.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,8.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,9.0,0.0,0.0,0.0,0.0,0.0,69.863
1987.0,10.0,0.0,0.0,0.0,0.0,0.0,72.192
1987.0,11.0,0.0,0.0,0.0,0.0,0.0,69.863
