year,hydro_generation,biofuel_generation,solar_generation,geothermal_generation,country,total_energy_consumption,renewable_share_pct,other_renewable_generation,solar_generation_alt,wind_generation,hydro_generation_alt,renewable_generation,decade,period,renewable_generation_lag_1,renewable_generation_lag_3,renewable_generation_lag_6,renewable_generation_lag_12,renewable_generation_rolling_mean_3,renewable_generation_rolling_std_3,renewable_generation_rolling_mean_6,renewable_generation_rolling_std_6,renewable_generation_rolling_mean_12,renewable_generation_rolling_std_12
0.4284781335260751,0.0784004373901967,-0.2072819681039626,-0.2757922056433558,0.2946401230495382,Argentina,-0.4168599983555197,0.9257519346124804,-0.2558420191266496,-0.3705366952108211,0.5012827756017525,0.970851423797942,0.0345088297241107,0.7285275733746228,2000s,-0.0778055734426065,-0.0340461718232639,0.0316083114070902,-1.395232098954705,0.087501443520182,-0.5046465193062437,0.1761995899623073,-0.8081089890349065,0.1170908569471359,-0.0566979988606738
0.5853753088434199,0.1207865147743489,-0.1208804553190189,-0.2567905144052966,0.4689839259214896,Argentina,-0.3605251982414804,0.7357252998310102,-0.0793382214087295,-0.3669668428879127,0.5599073585440331,0.8726810250729663,0.0903357437822872,0.7285275733746228,2000s,0.114968968211802,0.1701628502729714,0.1704642805224663,-0.9766365555904898,0.1421414162654455,-0.3722488415043595,0.2538716776656508,-0.7334667053323178,0.2747843593858631,-0.1719447922911507
0.7422724841607646,0.5886496661238091,0.0324860260742905,-0.2280670276500909,0.7024109064333791,Argentina,-0.2619392980419116,0.5063074383156334,-0.0859259085554411,-0.3659752172426603,0.4889238010927071,0.70702546188969,0.4758174411597892,0.7285275733746228,2000s,0.1747579206207677,0.0619196721012972,0.2395424219015627,-0.953654390837562,0.3710052809340813,0.0941473291688847,0.4024777258769014,-0.1546307344459112,0.4846338923261012,-0.1712006252857996
0.8991696594781095,0.9377704928619144,0.1804619034186271,-0.1723876533246152,0.8748175559400863,Argentina,-0.2760229980704214,0.5685417399937195,-0.0612652740920232,-0.3637936408231052,0.4795631988561067,0.8933031309816681,0.7870302118018053,0.7285275733746228,2000s,0.5875972696668799,0.2846093529277119,0.2802626266653437,-0.2029660869875058,0.6482024186619744,0.527262358908355,0.6101650685305225,0.4396475590364453,0.6986288940374723,0.1202058042586751
1.0560668347954545,1.229930673858266,0.4016285174278898,-0.1016836859271857,1.0036382547288054,Argentina,-0.219688197956382,0.636761521422002,0.0040816102873169,-0.3620087146616509,0.4527618798493483,1.0818308299223969,1.0761043027600807,0.7285275733746228,2000s,0.9208968232404068,0.3536764746266304,0.5618442467962512,-0.0488972721038034,1.0113179785897857,0.3328495306929285,0.8433508550094415,1.0619175394503326,0.9446408819208748,0.4611172633767981
1.2129640101127992,1.345217460273938,0.6884693920337924,-0.0155132256615685,1.263216805671488,Argentina,-0.1774370978708525,0.3425623850986475,0.0164364308639133,-0.3582603697225971,0.3490573252359098,0.7446284176654994,1.2341645742341103,0.7285275733746228,2000s,1.2304865141367824,0.8305810600696482,0.4125888947808301,0.6357604979254718,1.2906610772695404,0.0401327367003629,1.127025471319547,1.1899966314004713,1.177026971209002,0.8206824691345735
1.369861185430144,1.6792899755147108,1.069759723497753,0.1811321836625322,1.5169838965184383,Argentina,-0.135185997785323,0.3258320043795629,0.0844611897810822,-0.3513586552316409,0.0959249075208866,0.7436133957090727,1.5980351796775838,0.7285275733746228,2000s,1.39976432947619,1.215602705396319,0.7196532960979575,0.8391390428710055,1.5894011013171971,0.2030875720385877,1.4485062167012444,1.4103626433370753,1.4492245439978304,1.2720085299815558
1.5267583607474886,1.8276273127374865,1.4978951633872937,0.5399548182044869,1.722322153234292,Argentina,-0.219688197956382,0.4648071865386453,0.0758809666426083,-0.3647686071575173,0.0299474177755978,0.9132547090388377,1.8510423310181383,0.7285275733746228,2000s,1.789458846518818,1.5732351441052483,0.8148892059814834,1.0563900341019912,1.8748555860210645,0.372227444085169,1.8105297067945776,1.2228212483162415,1.745171656667916,1.6913090617810629
1.6836555360648335,2.3623997157630465,1.9833532237976008,1.0781887700174189,1.82595985827484,Argentina,-0.1492696978138328,0.4522012384381918,0.2034564299144712,-0.3628238309420484,-0.1179984251481023,0.8508131923542429,2.4013150522197777,2.2952273381902883,2000s,2.06042192563268,1.7687818296032984,1.472487800002562,1.164468172784911,2.3047845946853847,0.7730869553495489,2.2064363106408535,1.6246319350345495,2.1116682859864695,2.2707422793242342
1.8405527113821785,-0.2207265544845482,2.701822042324773,2.471940727339248,1.9412204835068532,Argentina,-0.1211022977568132,0.3766542129056025,0.1917630863832186,-0.0597612179887385,-0.1020317126203289,0.7429798878232927,0.7555210358696437,2.2952273381902883,2010s,2.64974752413508,2.2189499216929733,2.0033899979743053,1.228178108370824,1.994437919200868,2.474815465710938,2.199957626501418,1.665292483900515,2.247096351535564,2.0140349991823214
1.9974498866995232,3.017948752176455,3.377773420465681,4.0305213086563345,2.0361409984038032,Argentina,-0.0788511976712837,0.3030584974322042,0.2246967900892075,1.241046758724019,4.321829705766556,0.6426126072164843,3.3949807718399434,2.2952273381902883,2010s,0.8871514398167315,2.5319615936998643,2.4965255140709974,1.6687345099111632,2.5631597214202784,4.448127503731616,2.676747887023766,3.456941128110935,2.724961883474361,3.0634946206212135
-1.4542879702820626,-1.36916352692261,-0.5790817994817036,-0.341635275282212,-1.2424910722714957,Australia,0.0056510024997753,-0.2911631532747802,-0.14030010196385,-0.379857976276193,-0.4447135996187594,-0.0722250665945425,-1.2107430179059953,-0.8381721914410428,1980s,,,,,-1.1882132561265817,,-1.126986237028734,,-1.1614081212375793,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Australia,-0.0084326975287345,-0.2621932640729168,-0.1604363894933441,0.7010139770488547,-0.4447135996187594,-0.0278606572347373,-1.0483556741344473,-0.8381721914410428,1990s,-1.2186584534570255,,,,-1.0984882835834209,-0.4057821391686277,-1.0268195766118156,-0.8529615612226992,-1.0265692216300877,-1.204228452555685
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.3403095758935102,-0.9635409876763744,Australia,0.0197347025282851,-0.2630545860608533,-0.185355045311093,2.0198760852344635,-0.4447135996187594,-0.0135687669711758,-1.0460050337656928,-0.8381721914410428,1990s,-1.0447464733239689,,,,-1.067714082634524,-0.487001502877935,-0.9924640471680216,-0.9606817219609745,-0.9803216801192446,-1.2974060624437576
-0.983596444330028,-0.795098310542904,-0.5659469473623755,-0.3389838765048084,-0.8734633561925332,Australia,0.0760695026423244,-0.2601942989037373,-0.185355045311093,2.5156889078606324,-0.4189388873996867,0.0085390007802706,-0.7732022524641057,-0.8381721914410428,1990s,-1.0422290079130814,-1.255973041013069,,,-0.9065425189974918,-0.2330215453534482,-0.8911487415492498,-0.5008992024221204,-0.8439365369371677,-0.8996955879575831
-0.8266992690126833,-0.7336231713519512,-0.5530398672451168,-0.3381000769123405,-0.7940400682175333,Australia,0.0760695026423244,-0.2841661300788242,-0.1720147548228032,3.0709992692019408,-0.3738331410163097,-0.0032220339157851,-0.7231251863085222,-0.8381721914410428,1990s,-0.7500654021784523,-1.0550730517543758,,,-0.7867413246735745,-0.1709208613878929,-0.8180037861977797,-0.3733027918030628,-0.7454727841238066,-0.7893250826566529
-0.6698020936953385,-0.3818549564800564,-0.5481807312009723,-0.3372162773198727,-0.9063949634016792,Australia,0.1042369026993441,-0.3138363336747953,-0.1070752275401847,3.8147185031411937,-0.3545021068520053,-0.028977211161578,-0.4658299807182846,-0.8381721914410428,1990s,-0.6964343646105017,-1.0521649210228443,,,-0.5730293054325523,-0.2062010161383111,-0.7163373419323452,-0.016784037929775,-0.6086149572311158,-0.480937449937652
-0.5129049183779937,-0.2781330761225198,-0.5367921310975088,-0.3358905779311709,-0.6845909030812527,Australia,0.1887391028704031,-0.3141598145383502,-0.0461629577634649,4.697265327415774,-0.3545021068520053,-0.0122289022589669,-0.3806372027482268,-0.8381721914410428,1990s,-0.4208789078632607,-0.7146627822457394,-1.4046391664875837,,-0.4284248985081856,-0.1528593743338072,-0.5456571124558534,0.0244303741091427,-0.4906479032945227,-0.3021312496735799
-0.3560077430606489,-0.190741400463939,-0.5168241189161027,-0.3336810789500012,-0.6652193694288134,Australia,0.2169065029274228,-0.3235269595203514,-0.0207408947574786,5.698807229120635,-0.3480584287972371,-0.0130228961624981,-0.3102708146131063,-0.8381721914410428,1990s,-0.3296399949917484,-0.6527091729366481,-1.127620336080151,,-0.2763467611183289,-0.552913558709604,-0.3938975525348283,0.0208309342580573,-0.3875653686364564,-0.1833482471871365
-1.4542879702820626,-1.36916352692261,-0.5790817994817036,-0.341635275282212,-1.2424910722714957,Belgium,-0.5295295985835984,-0.7230828222240516,-0.380677034347186,-0.379857976276193,-0.3545021068520053,-0.7914594816463731,-1.241459502626815,-0.8381721914410428,1980s,,,,,-1.2221572284114564,,-1.1648804179762382,,-1.2124192025616565,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Belgium,-0.5013621985265787,-0.7248701788872934,-0.3721191121471511,-0.379857976276193,-0.341614750742469,-0.7932955925482891,-1.0808753462385206,-0.8381721914410428,1990s,-1.251554888341999,,,,-1.1334285831355255,-0.4108622854528458,-1.065826031792591,-0.8596992916027172,-1.0790775859129036,-1.2100565687465408
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.3403095758935102,-0.9635409876763744,Belgium,-0.4872784984980689,-0.7210809773113835,-0.3882281421707463,-0.379857976276193,-0.3287273946329327,-0.7877376352235708,-1.0788616552794768,-0.8381721914410428,1990s,-1.0795740678737853,,,,-1.1031106092265777,-0.4915444662292715,-1.031979822526762,-0.9667069937691308,-1.0335156634699108,-1.3026179041469468
-0.983596444330028,-0.795098310542904,-0.5659469473623755,-0.3389838765048084,-0.8734633561925332,Belgium,-0.5154458985550886,-0.7259876937969341,-0.3993031003119681,-0.379857976276193,-0.341614750742469,-0.7920549770740216,-0.8072083815589958,-0.8381721914410428,1990s,-1.0774174651858563,-1.2939744104988518,,,-0.943150811828156,-0.2360579048974772,-0.931273706890894,-0.5077113449376682,-0.8979505786446239,-0.905588070418298
