year,hydro_generation,biofuel_generation,solar_generation,geothermal_generation,country,total_energy_consumption,renewable_share_pct,other_renewable_generation,solar_generation_alt,wind_generation,hydro_generation_alt,renewable_generation,decade,period,renewable_generation_lag_1,renewable_generation_lag_3,renewable_generation_lag_6,renewable_generation_lag_12,renewable_generation_rolling_mean_3,renewable_generation_rolling_std_3,renewable_generation_rolling_mean_6,renewable_generation_rolling_std_6,renewable_generation_rolling_mean_12,renewable_generation_rolling_std_12
1.369861185430144,1.6792899755147108,1.069759723497753,0.18113218366253228,1.5169838965184383,Mexico,1.3858536052937391,-0.0602959756950748,3.452344835227761,3.388319475682689,2.8415622083129963,1.1418118091245668,1.6287153196782425,0.7285275733746228,2000s,1.4074451847042517,1.2173055231454457,0.7006718338727695,0.9203801073710234,1.6024803935346206,0.27080963060207763,1.453192273379415,1.4807462089450347,1.4603457370398176,1.2815266144045674
-1.4542879702820626,-1.3691635269226101,-0.5790817994817036,-0.34163527528221205,-1.2424910722714955,Netherlands,-0.2619392980419116,-0.7224816411932472,-0.18535504531109306,-0.37985797627619305,0.2769783425152733,-0.8004415376800696,-1.2409340134468803,-0.8381721914410428,1980s,,,,,-1.2215765242611665,,-1.164232134741637,,-1.2115465189998427,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Netherlands,-0.23377189798489187,-0.7185050137315409,-0.14508247025210486,-0.37985797627619305,0.6893737380204348,-0.7994986699196265,-1.0800419532422194,-0.8381721914410428,1990s,-1.2509921051736907,,,,-1.132677750816206,-0.4099948235112092,-1.0649878218291033,-0.8585487883788567,-1.077949233338841,-1.209061386973388
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.34030957589351024,-0.9635409876763745,Netherlands,-0.23377189798489187,-0.7163527502173199,-0.14407565587563015,-0.18153284722572557,1.4497277484830762,-0.7987046760160952,-1.0780344203595031,-0.8381721914410428,1990s,-1.0786815289427978,,,,-1.1023053358931678,-0.4908434420066264,-1.0310808360100296,-0.9657772346760277,-1.0323054968119267,-1.3018136653723917
-0.9835964443300281,-0.795098310542904,-0.5659469473623755,-0.33898387650480843,-0.8734633561925332,Netherlands,-0.21968819795638206,-0.7128136982304526,-0.08819745798128396,-0.18153284722572557,1.7976863634405562,-0.8000941653472748,-0.805929554375016,-0.8381721914410428,1990s,-1.0765315213701228,-1.2933242935121925,,,-0.9420680405479305,-0.2350262767347012,-0.9302050524963583,-0.5060731730023151,-0.8965120143356998,-0.904171056699828
-0.8266992690126833,-0.7336231713519512,-0.5530398672451168,-0.33810007691234056,-0.7940400682175333,Netherlands,-0.21968819795638206,-0.7074081740468673,-0.04993851167524516,-0.37787472498568836,2.622477154450879,-0.7996971683955092,-0.7551315622237901,-0.8381721914410428,1990s,-0.7851153620309025,-1.0942742172180768,,,-0.8223847563870283,-0.17148037556283752,-0.8571459326307407,-0.37725530629858334,-0.798163808575734,-0.792743995617945
-0.6698020936953385,-0.38185495648005646,-0.5481807312009723,-0.3372162773198727,-0.9063949634016791,Netherlands,-0.17743709787085254,-0.704367211370412,-0.010672750992731654,-0.18153284722572557,3.640578287104247,-0.8002926638231576,-0.49674691082355965,-0.8381721914410428,1990s,-0.7307122343202129,-1.0917905671674821,,,-0.6082629550962019,-0.20268573494087155,-0.7553127082178983,-0.017866217141065417,-0.6610814713373929,-0.4818735316487032
-1.4542879702820626,-1.3691635269226101,-0.5790817994817036,-0.34163527528221205,-1.2424910722714955,New Zealand,-1.0083753995529328,3.527520080445009,0.963894669862179,-0.37985797627619305,-0.4447135996187594,0.34590219680263284,-1.1889449762581041,-0.8381721914410428,1980s,,,,,-1.1641248186544688,,-1.1000945226280123,,-1.1252079607923797,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,New Zealand,-1.0083753995529328,3.425169764980086,1.0489134486398644,-0.37985797627619305,-0.4447135996187594,0.33146942224581355,-1.0285721492436357,-0.8381721914410428,1990s,-1.1953134039109181,,,,-1.0755129406205137,-0.41145766679987616,-1.0011704924015006,-0.8604889379564145,-0.9920418222292924,-1.2107396104296395
-1.140493619647373,-1.1587937056386106,-0.5733874994299718,-0.34030957589351024,-0.9635409876763745,New Zealand,-1.0083753995529328,3.1206845771386833,1.0224808460442103,-0.37985797627619305,-0.43580960929647583,0.2420559326582644,-1.0305296241317583,-0.8381721914410428,1990s,-1.0235589108707461,,,,-1.046696699130024,-0.49659899443902433,-0.9690007787302999,-0.9734107472380625,-0.9487367067940959,-1.3084166304135332
-0.9835964443300281,-0.795098310542904,-0.5659469473623755,-0.33898387650480843,-0.8734633561925332,New Zealand,-0.994291699524423,3.4076262437877767,1.097369410950839,-0.37985797627619305,-0.4320084836119681,0.3611665310995441,-0.7534176460939827,-0.8381721914410428,1990s,-1.0256553078309245,-1.2290052599581445,,,-0.8862668001277646,-0.22806944592863285,-0.8674493431672928,-0.5034297398620833,-0.8120336983491409,-0.9018844951108217
-0.8266992690126833,-0.7336231713519512,-0.5530398672451168,-0.33810007691234056,-0.7940400682175333,New Zealand,-0.994291699524423,3.506477103222717,1.0251592239892273,-0.37985797627619305,-0.43169606832516066,0.47749562002289697,-0.6984039327162531,-0.8381721914410428,1990s,-0.7288766814932873,-1.0305975609571707,,,-0.7646467548110133,-0.1540364927536949,-0.7929446655007162,-0.36652068602567645,-0.7117395614541143,-0.7834585818826671
-0.6698020936953385,-0.38185495648005646,-0.5481807312009723,-0.3372162773198727,-0.9063949634016791,New Zealand,-0.994291699524423,3.594390201448325,0.99994818927655,-0.37985797627619305,-0.43169606832516066,0.5617422439078359,-0.4369369440655895,-0.8381721914410428,1990s,-0.6699586426499813,-1.0330192809931313,,,-0.5459922476975104,-0.18956988449683723,-0.6895139684570816,0.0010068688311198695,-0.572506793615486,-0.4655483699515068
-0.5129049183779937,-0.27813307612251986,-0.5367921310975088,-0.3358905779311709,-0.6845909030812527,New Zealand,-0.9802079994959131,3.329925293985671,0.9631441904259548,-0.37985797627619305,-0.3374100832761034,0.49465829449391324,-0.35560440065748317,-0.8381721914410428,1990s,-0.38993533122962665,-0.6901859534798414,-1.3674535837800643,,-0.3994546268251564,-0.14963623224478534,-0.5181686314188713,0.04623228682377642,-0.45375917022827733,-0.28748665267126744
-0.3560077430606489,-0.190741400463939,-0.5168241189161027,-0.3336810789500012,-0.6652193694288134,New Zealand,-0.9802079994959131,2.923737371706131,1.010958258231208,-0.37985797627619305,-0.2695286026518356,0.3495177969162189,-0.2911180923612049,-0.8381721914410428,1990s,-0.302830613923204,-0.6221248954566536,-1.0938713455535312,,-0.24942770151466476,-0.5721410075331979,-0.36653877247957317,0.03510013411011403,-0.35131184470403914,-0.17428682073927262
-0.1991105677433041,-0.15147645435330723,-0.48653044264088946,-0.3301458805801298,-0.37755209469009454,New Zealand,-0.9802079994959131,3.2489884001652793,1.1425879112935402,-0.37985797627619305,-0.1602935680375506,0.4518026720492933,-0.24295962488898581,-0.8381721914410428,1990s,-0.23376770971649394,-0.2986470061617815,-1.0972106292160715,,-0.1779746385977987,-0.6380895268215799,-0.20460444345188317,-0.32654430453547206,-0.26274424660200785,-0.10118837666518353
-0.04221339242595931,-0.13021374755244694,-0.4451518622649719,-0.31865648587804746,-0.05695321274222972,New Zealand,-0.9661242994674033,2.927539768493782,1.2675867352131291,-0.37985797627619305,0.057802175045461826,0.33271356106802796,-0.2131639166082988,-0.8381721914410428,1990s,-0.1821914338581381,-0.19802520450180733,-0.624481448080436,,-0.1255055720498221,-0.7065529853118093,-0.0935214600052214,-0.5161005877484626,-0.1869419739763302,-0.05848848551241621
0.11468378289138549,0.03584715654496328,-0.3705944935876303,-0.30186429362115796,0.26461424588825755,New Zealand,-0.9661242994674033,3.0029767651174537,1.3605507896427649,-0.37985797627619305,1.1044507990216494,0.4079163958932707,-0.05943509735331169,0.7285275733746228,1990s,-0.15028112295452997,-0.11824498060528851,-0.5306327885586185,,-0.04016332848579598,-0.47086651127215373,0.037858594750021166,-0.7753423831386881,-0.10171297574593663,0.03645334143492103
0.2715809582087303,-0.12480750231081393,-0.316612529097213,-0.2872816003454381,0.22490260190075798,New Zealand,-0.9661242994674033,2.6269124047609402,1.2542669333974006,-0.37985797627619305,1.3464727048507383,0.2712597727994262,-0.16938992351101917,0.7285275733746228,2000s,0.01435783682649631,-0.05866499504006432,-0.08459261261942042,,-0.013063353480216838,-0.5477107352060052,0.09286963795699636,-0.9190786019911741,-0.04590570638388702,0.036383238408821315
0.4284781335260751,0.07840043739019678,-0.20728196810396268,-0.2757922056433558,0.29464012304953824,New Zealand,-0.9661242994674033,2.874217447179923,1.172333839320735,-0.37985797627619305,1.5590533812108114,0.42965480760571834,0.018114473306891147,0.7285275733746228,2000s,-0.10340048779500281,-0.02180277822859643,0.05415370544753586,-1.3498023865778024,0.07212985063286732,-0.4878880814569648,0.16971095385093857,-0.8397499500374791,0.1211419671601198,-0.09396567115496748
0.5853753088434199,0.12078651477434897,-0.12088045531901899,-0.25679051440529665,0.4689839259214896,New Zealand,-0.9661242994674033,2.7947819422048625,1.1268429956891972,-0.37985797627619305,1.4438120654081157,0.3676126698545999,0.0745028757354999,0.7285275733746228,2000s,0.09741110365594796,0.1683851848218202,0.1641617965131776,-0.9217616417933967,0.12146695075723431,-0.35454372188602595,0.24488723812296503,-0.7744154787135317,0.2737990021832664,-0.20614516559820675
0.7422724841607646,0.5886496661238091,0.0324860260742905,-0.2280670276500909,0.7024109064333791,New Zealand,-0.9520405994388934,3.1495705718779123,1.1862809368337262,-0.37985797627619305,4.2145379555800275,0.5471193574357399,0.47498384104685376,0.7285275733746228,2000s,0.15780139328772672,0.032352887716808464,0.24631599660981082,-0.926986211470236,0.3588270675810614,0.12919280534739563,0.39250547338829433,-0.15135141962781407,0.4821503985771204,-0.19487242348456646
-1.4542879702820626,-1.3691635269226101,-0.5790817994817036,-0.34163527528221205,-1.2424910722714955,Nigeria,-0.2760229980704214,-0.5430415656655038,-0.45507531770324056,-0.37985797627619305,-0.2977717049332331,-0.5441998551629668,-1.2425987467473742,-0.8381721914410428,1980s,,,,,-1.2234161768622784,,-1.1662858757700005,,-1.214311153252304,
-1.2973907949647177,-1.154697220842114,-0.5767281554603211,-0.3411933754859781,-1.1485391340571665,Nigeria,-0.21968819795638206,-0.6866473260166676,-0.37141434208361873,-0.34019295046609954,0.1609921375294466,-0.7309769960448849,-1.081975589209007,-0.8381721914410428,1990s,-1.2527749846639151,,,,-1.13466598201827,-0.4107524069402409,-1.067207432200694,-0.8595535611943647,-1.0809371518619995,-1.2099305123886108
